"Series";"Time";"Value"
"Probe-1";"2020-05-04T15:30:53+02:00";50.96875
"Probe-1";"2020-05-04T15:30:53+02:00";50.9625
"Probe-1";"2020-05-04T15:30:53+02:00";50.95625
"Probe-1";"2020-05-04T15:30:53+02:00";50.95
"Probe-1";"2020-05-04T15:30:53+02:00";50.94375
"Probe-1";"2020-05-04T15:30:54+02:00";50.9375
"Probe-1";"2020-05-04T15:30:54+02:00";50.94375
"Probe-1";"2020-05-04T15:30:54+02:00";50.95
"Probe-1";"2020-05-04T15:30:54+02:00";50.95625
"Probe-1";"2020-05-04T15:30:54+02:00";50.9625
"Probe-1";"2020-05-04T15:30:55+02:00";50.96875
"Probe-1";"2020-05-04T15:30:55+02:00";50.975
"Probe-1";"2020-05-04T15:30:55+02:00";50.98125
"Probe-1";"2020-05-04T15:30:55+02:00";50.9875
"Probe-1";"2020-05-04T15:30:55+02:00";50.99375
"Probe-1";"2020-05-04T15:30:56+02:00";51
"Probe-1";"2020-05-04T15:30:56+02:00";51.00625
"Probe-1";"2020-05-04T15:30:56+02:00";51.0125
"Probe-1";"2020-05-04T15:30:56+02:00";51.01875
"Probe-1";"2020-05-04T15:30:56+02:00";51.025
"Probe-1";"2020-05-04T15:30:57+02:00";51.03125
"Probe-1";"2020-05-04T15:30:57+02:00";51.0375
"Probe-1";"2020-05-04T15:30:57+02:00";51.04375
"Probe-1";"2020-05-04T15:30:57+02:00";51.05
"Probe-1";"2020-05-04T15:30:57+02:00";51.05625
"Probe-1";"2020-05-04T15:30:58+02:00";51.0625
"Probe-1";"2020-05-04T15:30:58+02:00";50.775
"Probe-1";"2020-05-04T15:30:58+02:00";50.4875
"Probe-1";"2020-05-04T15:30:58+02:00";50.2
"Probe-1";"2020-05-04T15:30:58+02:00";49.9125
"Probe-1";"2020-05-04T15:30:59+02:00";49.625
"Probe-1";"2020-05-04T15:30:59+02:00";49.3375
"Probe-1";"2020-05-04T15:30:59+02:00";49.05
"Probe-1";"2020-05-04T15:30:59+02:00";48.7625
"Probe-1";"2020-05-04T15:30:59+02:00";48.475
"Probe-1";"2020-05-04T15:31:00+02:00";48.1875
"Probe-1";"2020-05-04T15:31:00+02:00";48.4625
"Probe-1";"2020-05-04T15:31:00+02:00";48.7375
"Probe-1";"2020-05-04T15:31:00+02:00";49.0125
